KUNNR,SALES_AREA_KUNNR,HKUNNR,SALES_AREA_HKUNNR
0000100254,00201010,0000550999,00201010
0000100255,00201010,0000550999,00201010
0000100256,00201010,0000550999,00201010
0000100257,00201010,0000550462,00201010
0000100258,00201010,0000550999,00201010
0000100259,00201010,0000550999,00201010
0000100260,00201010,0000550999,00201010
0000100261,00201010,0000550999,00201010
0000100262,00201010,0000550025,00201010
0000100263,00201010,0000550463,00201010
0000100264,00201010,0000550285,00201010
0000100265,00201010,0000550285,00201010
0000100266,00201010,0000550285,00201010
0000100267,00201010,0000550024,00201010
0000100268,00201010,0000550285,00201010
0000100270,00201010,0000550699,00201010
0000100271,00201010,0000550285,00201010
0000100272,00201010,0000550285,00201010
0000100273,00201010,0000550285,00201010
0000100274,00201010,0000550285,00201010
0000100275,00201010,0000550699,00201010
0000100276,00201010,0000550288,00201010
0000100278,00201010,0000555886,00201010
0000100279,00201010,0000550285,00201010
0000100280,00201010,0000550288,00201010
0000100281,00201010,0000550285,00201010
0000100282,00201010,0000550285,00201010
0000100283,00201010,0000550699,00201010
0000100284,00201010,0000550288,00201010
0000100285,00201010,0000550285,00201010
0000100286,00201010,0000550285,00201010
0000100289,00201010,0000550285,00201010
0000100290,00201010,0000550285,00201010
0000100291,00201010,0000550285,00201010
0000100292,00201010,0000558613,00201010
0000100293,00201010,0000572551,00201010
0000100294,00201010,0000572551,00201010
0000100295,00201010,0000550285,00201010
0000100296,00201010,0000572551,00201010
0000100297,00201010,0000550126,00201010
0000100298,00201010,0000550285,00201010
0000100299,00201010,0000550285,00201010
0000100300,00201010,0000550285,00201010
0000100301,00201010,0000555886,00201010
0000100302,00201010,0000584835,00201010
0000100303,00201010,0000550126,00201010
0000100304,00201010,0000550126,00201010
0000100305,00201010,0000550126,00201010
0000100306,00201010,0000550127,00201010
0000100307,00201010,0000550370,00201010
0000100308,00201010,0000549444,00201010
0000100309,00201010,0000550249,00201010
0000100310,00201010,0000550251,00201010
0000100311,00201010,0000550251,00201010
0000100312,00201010,0000558613,00201010
0000100313,00201010,0000550378,00201010
0000100314,00201010,0000550579,00201010
0000100316,00201010,0000550126,00201010
0000100317,00201010,0000569836,00201010
0000100318,00201010,0000550370,00201010
0000100319,00201010,0000557242,00201010
0000100320,00201010,0000555895,00201010
0000100321,00201010,0000550126,00201010
0000100322,00201010,0000550612,00201010
0000100324,00201010,0000500013,00201010
0000100325,00201010,0000550251,00201010
0000100326,00201010,0000500014,00201010
0000100327,00201010,0000500014,00201010
0000100328,00201010,0000500014,00201010
0000100329,00201010,0000550146,00201010
0000100330,00201010,0000550149,00201010
0000100331,00201010,0000550251,00201010
0000100332,00201010,0000578320,00201010
0000100333,00201010,0000550283,00201010
0000100334,00201010,0000559644,00201010
0000100335,00201010,0000570095,00201010
0000100390,00201010,0000500015,00201010
0000100444,00201010,0000550255,00201010
0000100445,00201010,0000558613,00201010
0000100446,00201010,0000550126,00201010
0000100448,00201010,0000501397,00201010
0000100449,00201010,0000550251,00201010
0000100450,00201010,0000558613,00201010
0000100451,00201010,0000569852,00201010
0000100452,00201010,0000550577,00201010
0000100453,00201010,0000500216,00201010
0000100454,00201010,0000550126,00201010
0000100456,00201010,0000550126,00201010
0000100457,00201010,0000550126,00201010
0000100458,00201010,0000550126,00201010
0000100459,00201010,0000550126,00201010
0000100460,00201010,0000550126,00201010
0000100461,00201010,0000578320,00201010
0000100462,00201010,0000500435,00201010
0000100463,00201010,0000550288,00201010
0000100464,00201010,0000550126,00201010
0000100465,00201010,0000550126,00201010
0000100466,00201010,0000556015,00201010
0000100467,00201010,0000500017,00201010
0000100469,00201010,0000500862,00201010
0000100470,00201010,0000558613,00201010
0000100471,00201010,0000550251,00201010
0000100475,00201010,0000550126,00201010
0000100476,00201010,0000550127,00201010
0000100477,00201010,0000550146,00201010
0000100479,00201010,0000550445,00201010
0000100480,00201010,0000550163,00201010
0000100482,00201010,0000500018,00201010
0000100483,00201010,0000550126,00201010
0000100484,00201010,0000550024,00201010
0000100485,00201010,0000584681,00201010
0000100487,00201010,0000569860,00201010
0000100488,00201010,0000558613,00201010
0000100489,00201010,0000549584,00201010
0000100491,00201010,0000500019,00201010
0000100492,00201010,0000584681,00201010
0000100493,00201010,0000559644,00201010
0000100494,00201010,0000577065,00201010
0000100495,00201010,0000558613,00201010
0000100496,00201010,0000578320,00201010
0000100497,00201010,0000578320,00201010
0000100498,00201010,0000500020,00201010
0000100500,00201010,0000500018,00201010
0000100501,00201010,0000500021,00201010
0000100502,00201010,0000584746,00201010
0000100506,00201010,0000550127,00201010
0000100507,00201010,0000550997,00201010
0000100508,00201010,0000578320,00201010
0000100509,00201010,0000501377,00201010
0000100510,00201010,0000501377,00201010
0000100511,00201010,0000500189,00201010
0000100513,00201010,0000572659,00201010
0000100514,00201010,0000550579,00201010
0000100515,00201010,0000500022,00201010
0000100516,00201010,0000500022,00201010
0000100517,00201010,0000554995,00201010
0000100518,00201010,0000501307,00201010
0000100519,00201010,0000501307,00201010
0000100520,00201010,0000501307,00201010
0000100521,00201010,0000501307,00201010
0000100522,00201010,0000501307,00201010
0000100528,00201010,0000550126,00201010
0000100529,00201010,0000550126,00201010
0000100530,00201010,0000550126,00201010
0000100531,00201010,0000500862,00201010
0000100534,00201010,0000501148,00201010
0000100535,00201010,0000571075,00201010
0000100536,00201010,0000500023,00201010
0000100537,00201010,0000550126,00201010
0000100538,00201010,0000550126,00201010
0000100539,00201010,0000550126,00201010
0000100540,00201010,0000550126,00201010
0000100542,00201010,0000550240,00201010
0000100543,00201010,0000550240,00201010
0000100544,00201010,0000500024,00201010
0000100545,00201010,0000550240,00201010
0000100546,00201010,0000550126,00201010
0000100547,00201010,0000549584,00201010
0000100548,00201010,0000501346,00201010
0000100550,00201010,0000550146,00201010
0000100552,00201010,0000550501,00201010
0000100553,00201010,0000578320,00201010
0000100555,00201010,0000550127,00201010
0000100557,00201010,0000550563,00201010
0000100558,00201010,0000500025,00201010
0000100559,00201010,0000500025,00201010
0000100563,00201010,0000572551,00201010
0000100564,00201010,0000584711,00201010
0000100565,00201010,0000584681,00201010
0000100566,00201010,0000558265,00201010
0000100567,00201010,0000500686,00201010
0000100568,00201010,0000578797,00201010
0000100569,00201010,0000501388,00201010
0000100573,00201010,0000578886,00201010
0000100574,00201010,0000550577,00201010
0000100576,00201010,0000501131,00201010
0000100579,00201010,0000550287,00201010
0000100581,00201010,0000500046,00201010
0000100582,00201010,0000500448,00201010
0000100583,00201010,0000550126,00201010
0000100584,00201010,0000550126,00201010
0000100585,00201010,0000550126,00201010
0000100586,00201010,0000550126,00201010
0000100587,00201010,0000555886,00201010
0000100588,00201010,0000550563,00201010
0000100589,00201010,0000500026,00201010
0000100590,00201010,0000550149,00201010
0000100591,00201010,0000500065,00201010
0000100592,00201010,0000500067,00201010
0000100593,00201010,0000500061,00201010
0000100594,00201010,0000550150,00201010
0000100595,00201010,0000550150,00201010
0000100596,00201010,0000500063,00201010
0000100598,00201010,0000500027,00201010
0000100599,00201010,0000500027,00201010
0000100601,00201010,0000501397,00201010
0000100602,00201010,0000550995,00201010
0000100603,00201010,0000500028,00201010
0000100604,00201010,0000500029,00201010
0000100605,00201010,0000500029,00201010
0000100606,00201010,0000500028,00201010
0000100607,00201010,0000500030,00201010
0000100608,00201010,0000500030,00201010
0000100609,00201010,0000500031,00201010
0000100610,00201010,0000550283,00201010
0000100611,00201010,0000550126,00201010
0000100612,00201010,0000550126,00201010
0000100613,00201010,0000550126,00201010
0000100614,00201010,0000550622,00201010
0000100615,00201010,0000558613,00201010
0000100616,00201010,0000558613,00201010
0000100617,00201010,0000500032,00201010
0000100618,00201010,0000500032,00201010
0000100619,00201010,0000501147,00201010
0000100620,00201010,0000501491,00201010
0000100621,00201010,0000581526,00201010
0000100622,00201010,0000550999,00201010
0000100623,00201010,0000550699,00201010
0000100624,00201010,0000550126,00201010
0000100625,00201010,0000569852,00201010
0000100626,00201010,0000550251,00201010
0000100627,00201010,0000558613,00201010
0000100628,00201010,0000558613,00201010
0000100629,00201010,0000500431,00201010
0000100632,00201010,0000578320,00201010
0000100633,00201010,0000550127,00201010
0000100634,00201010,0000555517,00201010
0000100635,00201010,0000501378,00201010
0000100637,00201010,0000570095,00201010
0000100638,00201010,0000558540,00201010
0000100639,00201010,0000550283,00201010
0000100642,00201010,0000572578,00201010
0000100644,00201010,0000556034,00201010
0000100645,00201010,0000572551,00201010
0000100648,00201010,0000578320,00201010
0000100649,00201010,0000500056,00201010
0000100650,00201010,0000549584,00201010
0000100657,00201010,0000550285,00201010
0000100658,00201010,0000550269,00201010
0000100659,00201010,0000550146,00201010
0000100661,00201010,0000500425,00201010
0000100662,00201010,0000500404,00201010
0000100663,00201010,0000550127,00201010
0000100664,00201010,0000573485,00201010
0000100665,00201010,0000500385,00201010
0000100666,00201010,0000572551,00201010
0000100667,00201010,0000550147,00201010
0000100668,00201010,0000550146,00201010
0000100669,00201010,0000500034,00201010
0000100670,00201010,0000558613,00201010
0000100671,00201010,0000550146,00201010
0000100672,00201010,0000500324,00201010
0000100673,00201010,0000500324,00201010
0000100674,00201010,0000550146,00201010
0000100675,00201010,0000557900,00201010
0000100676,00201010,0000500035,00201010
0000100677,00201010,0000557900,00201010
0000100678,00201010,0000557900,00201010
0000100679,00201010,0000500324,00201010
0000100680,00201010,0000557900,00201010
0000100681,00201010,0000501074,00201010
0000100682,00201010,0000557900,00201010
0000100683,00201010,0000500324,00201010
